CustomerID,Lookalikes
C0001,"[('C0184', 0.94), ('C0004', 0.92), ('C0104', 0.78)]"
C0002,"[('C0134', 1.0), ('C0162', 0.98), ('C0159', 0.91)]"
C0003,"[('C0181', 0.98), ('C0195', 0.97), ('C0052', 0.84)]"
C0004,"[('C0184', 0.98), ('C0174', 0.96), ('C0001', 0.92)]"
C0005,"[('C0021', 0.84), ('C0173', 0.83), ('C0045', 0.78)]"
C0006,"[('C0076', 0.99), ('C0013', 0.98), ('C0137', 0.97)]"
C0007,"[('C0161', 0.99), ('C0045', 0.91), ('C0173', 0.88)]"
C0008,"[('C0050', 0.97), ('C0189', 0.94), ('C0036', 0.84)]"
C0009,"[('C0119', 0.97), ('C0051', 0.95), ('C0170', 0.95)]"
C0010,"[('C0141', 0.97), ('C0037', 0.96), ('C0121', 0.91)]"
C0011,"[('C0102', 0.98), ('C0071', 0.95), ('C0025', 0.95)]"
C0012,"[('C0013', 0.98), ('C0137', 0.94), ('C0006', 0.94)]"
C0013,"[('C0137', 0.99), ('C0012', 0.98), ('C0076', 0.98)]"
C0014,"[('C0182', 0.97), ('C0089', 0.94), ('C0064', 0.89)]"
C0015,"[('C0059', 0.97), ('C0026', 0.97), ('C0020', 0.96)]"
C0016,"[('C0072', 0.94), ('C0144', 0.92), ('C0116', 0.91)]"
C0017,"[('C0127', 0.97), ('C0111', 0.88), ('C0149', 0.76)]"
C0018,"[('C0065', 0.99), ('C0094', 0.81), ('C0024', 0.77)]"
C0019,"[('C0075', 0.97), ('C0053', 0.96), ('C0100', 0.83)]"
C0020,"[('C0026', 1.0), ('C0059', 0.99), ('C0098', 0.99)]"
